pname,netprice,sellingprice,category,severity,problem_tags
Bio Mountain Ebony Hair Serum,232,310,Hair,High Severity,"hair-fall,serum,scalp-care,shine,thinning"
Bio Thyme Volume Conditioner,184,245,Hair,Improver,"thin-hair,conditioner,volume,bounce,thickening"
Bio Henna Leaf Fresh Texture Shampoo,98,130,Hair,Improver,"color-protection,henna,shampoo,shine,texture"
Onion Hair Oil,333,444,Hair,High Severity,"hair-fall,hair-growth,hair-oil,onion,scalp-care"
Onion Shampoo,232,310,Hair,High Severity,"hair-fall,onion,shampoo,keratin,strengthening"
Onion Conditioner,262,349,Hair,Improver,"hair-fall,onion,conditioner,detangling,softening"
Tea Tree Shampoo,232,310,Hair,High Severity,"dandruff,anti-dandruff,shampoo,itchy-scalp,oily-scalp"
BhringAmla Hair Oil,333,444,Hair,High Severity,"hair-fall,hair-growth,hair-oil,premature-greying,bhringraj"
Rosemary Hair Growth Oil,333,444,Hair,High Severity,"hair-growth,thinning,hair-oil,rosemary,hair-fall"
Apple Cider Vinegar Shampoo,356,474,Hair,Improver,"dandruff,oily-scalp,clarifying,shampoo,shine"
Onion Black Seed Hair Oil,269,359,Hair,High Severity,"hair-fall,onion,black-seed,hair-oil,scalp-care"
Coconut Milk Shampoo,187,249,Hair,Improver,"dry-hair,coconut-milk,shampoo,shine,damage-repair"
Moroccan Argan Oil Shampoo,224,299,Hair,Improver,"dry-hair,argan-oil,shampoo,damage-repair,frizz-control"
Red Onion Black Seed Oil Shampoo,269,359,Hair,High Severity,"hair-fall,onion,black-seed,shampoo,strengthening"
Himalayan Rose Conditioner,337,449,Hair,Improver,"dull-hair,conditioner,shine,volume,detangling"
Amla & Bhringraj Shampoo,299,399,Hair,Improver,"hair-fall,bhringraj,shampoo,scalp-care,strengthening"
Neem & Aloe Vera Shampoo,299,399,Hair,High Severity,"dandruff,anti-dandruff,neem,aloe-vera,shampoo"
Shikakai & Honey Shampoo,299,399,Hair,Improver,"shikakai,shine,shampoo,strengthening,dandruff"
Herbal Hair Conditioner,262,349,Hair,Improver,"conditioner,softening,detangling,frizz-control,dry-hair"
Bhringraj Hair Oil,262,349,Hair,High Severity,"hair-fall,bhringraj,hair-oil,hair-growth,dandruff"
Amla Hair Oil,262,349,Hair,Improver,"amla,hair-oil,strengthening,shine,hair-fall"
Kesh Kanti Natural Hair Cleanser,120,160,Hair,Regular,"regular-cleanse,herbal-shampoo,shampoo,scalp-care,shine"
Kesh Kanti Aloe Vera Hair Cleanser,134,178,Hair,Improver,"aloe-vera,shampoo,hydration,scalp-care,dry-hair"
Kesh Kanti Milk Protein Hair Cleanser,140,186,Hair,Improver,"milk-protein,shampoo,repair,smoothening,dry-hair"
Kesh Kanti Anti-Dandruff Hair Cleanser,146,195,Hair,High Severity,"dandruff,anti-dandruff,shampoo,itchy-scalp,flaky-scalp"
Kesh Kanti Hair Oil,200,267,Hair,Improver,"hair-oil,scalp-care,hair-fall,dandruff,strengthening"
Aloe Vera Juice Shampoo,262,349,Hair,Improver,"aloe-vera,shampoo,hydration,cleansing,softening"
Organic Harvest Anti-Dandruff Shampoo,292,389,Hair,High Severity,"dandruff,anti-dandruff,tea-tree,apple-cider-vinegar,shampoo"
Organic Harvest Hair Conditioner,446,595,Hair,Improver,"conditioner,damage-repair,softening,frizz-control,shine"
Bhringraj & Onion Hair Oil,409,545,Hair,High Severity,"hair-fall,onion,bhringraj,hair-oil,scalp-care"
Castor & Black Onion Seed Hair Oil,524,699,Hair,High Severity,"hair-fall,castor-oil,black-onion-seed,hair-oil,thinning"
Hibiscus & Onion Hair Oil,1346,1795,Hair,High Severity,"hair-fall,hibiscus,onion,hair-oil,premature-greying"
